concept:country:republic	country republic
concept:country:vietnam	country vietnam
concept:geopoliticalorganization:web_site	geopolitical organization web site
concept:date:n1996	date n 1996
concept:country:latvia	country latvia
concept:country:countries	country countries
concept:bodypart:nerves001	body part nerves 001
concept:nerve:nervous_system	nerve nervous system
concept:plant:mature_oak	plant mature oak
concept:plant:trees	plant trees
concept:lake:new	lake new
concept:retailstore:contacts	retail store contacts
concept:transportation:stations	transportation stations
concept:weatherphenomenon:water	weather phenomenon water
concept:sport:football	sport football
concept:country:britain	country britain
concept:bodypart:system001	body part system 001
concept:artery:circulation	artery circulation
concept:book:new	book new
concept:room:schools	room schools
concept:city:washington_d_c	city washington d c
concept:river:columbia	river columbia
concept:terroristorganization:state	terrorist organization state
concept:website:information	website information
concept:city:home	city home
concept:governmentorganization:office	government organization office
concept:sportsgame:series	sports game series
concept:sportsteam:anaheim_angels	sports team anaheim angels
concept:bodypart:human_body001	body part human body 001
concept:sportsteam:bengals	sports team bengals
concept:sportsteam:white_sox	sports team white sox
concept:city:sarasota	city sarasota
concept:city:florida	city florida
concept:stateorprovince:states	state or province states
concept:city:georgetown	city georgetown
concept:bodypart:skeletal	body part skeletal
concept:sportsteam:yanks	sports team yanks
concept:sportsteam:red_sox	sports team red sox
concept:city:folsom	city folsom
concept:stateorprovince:california	state or province california
concept:country:greece	country greece
concept:island:author	island author
concept:date:n1999	date n 1999
concept:city:vancouver	city vancouver
concept:sportsteam:toronto_blue_jays	sports team toronto blue jays
concept:county:tyler	county tyler
concept:city:texas	city texas
concept:personmexico:ryan_whitney	person mexico ryan whitney
concept:stateorprovince:afternoon	state or province afternoon
concept:visualizablescene:brussels	visual iz able scene brussels
concept:dateliteral:n2007	date literal n 2007
concept:company:west_virginia	company west virginia
concept:sportsteam:ncaa_mens_midwest_regionals	sports team ncaa mens midwest regional s
concept:sport:basketball	sport basketball
concept:stadiumoreventvenue:new_orleans_arena	stadium or event venue new orleans arena
concept:sportsteam:longhorns	sports team longhorns
concept:personmexico:mack_brown	person mexico mack brown
concept:country:azerbaijan	country azerbaijan
concept:shoppingmall:palm_beach_gardens	shopping mall palm beach gardens
concept:sportsteam:montreal_canadiens	sports team montreal canadiens
concept:sportsteam:bruins	sports team bruins
concept:sportsteam:byu	sports team byu
concept:sportsteam:ncaa_youth_kids	sports team ncaa youth kids
concept:museum:west_palm_beach	museum west palm beach
concept:aquarium:uk_	aquarium uk
concept:city:lancaster	city lancaster
concept:stateorprovince:ohio	state or province ohio
concept:country:sudan	country sudan
concept:sportsteam:spurs	sports team spurs
concept:sportsteam:heat	sports team heat
concept:bodypart:endocrine_glands	body part endocrine glands
concept:stateorprovince:illinois	state or province illinois
concept:city:joliet	city joliet
concept:visualizablescene:fort_myers	visual iz able scene fort myers
concept:coach:new	coach new
concept:company:focus	company focus
concept:sportsteam:hokies	sports team h oki es
concept:coach:frank_beamer	coach frank be amer
concept:sportsteam:bears_29_17	sports team bears 29 17
concept:sportsteam:hawks	sports team hawks
concept:website:campaign	website campaign
concept:bodypart:kidneys	body part kidneys
concept:artery:blood_vessels	artery blood vessels
concept:city:davis	city davis
concept:sportsteam:florida_marlins	sports team florida marlins
concept:stateorprovince:new_york	state or province new york
concept:plant:marula	plant maru la
concept:male:dave_wannstedt	male dave wan nsted t
concept:city:pittsburgh	city pittsburgh
concept:blog:iowa	blog iowa
concept:room:ownership	room ownership
concept:country:bulgaria	country bulgaria
concept:sportsteam:steelers	sports team steelers
concept:sportsteam:florida_international	sports team florida international
concept:river:dinner	river dinner
concept:dateliteral:n2005	date literal n 2005
concept:stateorprovince:colorado	state or province colorado
concept:city:ottawa	city ottawa
concept:geopoliticallocation:national	geopolitical location national
concept:sportsteam:new_york_giants	sports team new york giants
concept:sportsteam:falcons	sports team falcons
concept:city:hobart	city hobart
concept:bodypart:brain_tissue	body part brain tissue
concept:programminglanguage:state	programming language state
concept:date:n2003	date n 2003
concept:transportation:voters	transportation voters
concept:sportsteam:florida_gators	sports team florida gators
concept:sportsteam:bulldogs	sports team bulldogs
concept:plant:white_oaks	plant white oaks
concept:plant:shrubs	plant shrubs
concept:plant:lavender	plant lavender
concept:stadiumoreventvenue:td_banknorth_garden	stadium or event venue td bank north garden
concept:sportsteam:chowan_braves	sports team chowan braves
concept:sportsteam:phillies	sports team phillies
concept:city:rosemead	city rose mead
concept:coach:clemson	coach clemson
concept:coach:dabo_swinney	coach d abo s win ney
concept:bodypart:kidney	body part kidney
concept:braintissue:body	brain tissue body
concept:braintissue:response	brain tissue response
concept:artery:brain	artery brain
concept:braintissue:parts	brain tissue parts
concept:transportation:corridor	transportation corridor
concept:skiarea:combination	ski area combination
concept:bodypart:appearance	body part appearance
concept:invertebrate:coastal_areas	invertebrate coastal areas
concept:artery:cord	artery cord
concept:artery:canal	artery canal
concept:country:mexico	country mexico
concept:sportsteam:ucla	sports team ucla
concept:city:westwood	city westwood
concept:coach:tyrone_willingham	coach tyrone will ingham
concept:stateorprovince:products	state or province products
concept:plant:mountain_ash	plant mountain ash
concept:city:rome	city rome
concept:radiostation:nevada	radio station nevada
concept:economicsector:insurance_coverage	economic sector insurance coverage
concept:country:__america	country america
concept:country:australasia	country australasia
concept:sportsteam:pistons	sports team pistons
concept:sportsteam:utah_jazz	sports team utah jazz
concept:plant:black_cherry	plant black cherry
concept:city:area	city area
concept:sportsgame:centuries	sports game centuries
concept:dateliteral:n2006	date literal n 2006
concept:sportsteam:tampa	sports team tampa
concept:country:costa_rica	country costa rica
concept:city:evanston	city evanston
concept:stateorprovince:indiana	state or province indiana
concept:personmexico:ike_davis	person mexico ike davis
concept:country:indonesia	country indonesia
concept:city:san_bernardino	city san bernardino
concept:country:japan	country japan
concept:artery:fluid	artery fluid
concept:braintissue:spinal_cord	brain tissue spinal cord
concept:plant:saguaro	plant saguaro
concept:city:children	city children
concept:date:n2001	date n 2001
concept:university:seton_hall	university seton hall
concept:website:match	website match
concept:dateliteral:n2002	date literal n 2002
concept:programminglanguage:the_new	programming language the new
concept:city:boston	city boston
concept:city:greenville	city greenville
concept:stateorprovince:south_carolina	state or province south carolina
concept:sportsteam:cleveland_indians	sports team cleveland indians
concept:city:number	city number
concept:city:berlin	city berlin
concept:plant:chestnut	plant chestnut
concept:bodypart:spinal_column	body part spinal column
concept:city:capital	city capital
concept:sportsteam:rockies	sports team rockies
concept:country:germany	country germany
concept:landscapefeatures:housing	landscape features housing
concept:city:members	city members
concept:dateliteral:n2008	date literal n 2008
concept:braintissue:neuromuscular_system	brain tissue neuromuscular system
concept:artery:vessels	artery vessels
concept:city:portsmouth	city portsmouth
concept:stateorprovince:new_hampshire	state or province new hampshire
concept:stateorprovince:delaware	state or province delaware
concept:county:seattle	county seattle
concept:company:new_york	company new york
concept:sportsteam:state_university	sports team state university
concept:plant:ragweed	plant ragweed
concept:university:ohio_state	university ohio state
concept:personmexico:woody_hayes	person mexico woody hayes
concept:beverage:new	beverage new
concept:building:season	building season
concept:sportsleague:ncaa	sports league ncaa
concept:stadiumoreventvenue:kenan_memorial_stadium	stadium or event venue kenan memorial stadium
concept:year:n1997	year n 1997
concept:sportsteam:florida_state	sports team florida state
concept:plant:wild_cherry	plant wild cherry
concept:transportation:schedule	transportation schedule
concept:sportsteam:tampa_bay_devil_rays	sports team tampa bay devil rays
concept:city:federal_way	city federal way
concept:island:operations	island operations
concept:dateliteral:n1990	date literal n 1990
concept:bodypart:spinal_fluid	body part spinal fluid
concept:blog:epicenter	blog epicenter
concept:country:uganda	country uganda
concept:artery:sinuses	artery sinuses
concept:sportsteam:houston_astros	sports team houston astros
concept:sportsteam:st__johns_red_storm	sports team st johns red storm
concept:country:rwanda	country rwanda
concept:stateorprovince:georgia	state or province georgia
concept:city:roswell	city roswell
concept:everypromotedthing:westchester_division	every promoted thing westchester division
concept:bodypart:hair	body part hair
concept:comedian:oklahoma	comedian oklahoma
concept:sportsteam:magic	sports team magic
concept:person:anderson	person anderson
concept:crimeorcharge:murder	crime or charge murder
concept:bodypart:cells001	body part cells 001
concept:nerve:human_brain	nerve human brain
concept:room:offices	room offices
concept:coach:texas_longhorns	coach texas longhorns
concept:city:rolla	city roll a
concept:company:missouri	company missouri
concept:island:head	island head
concept:artery:coronary_arteries	artery coronary arteries
concept:sportsteam:lsu	sports team lsu
concept:sportsteam:vols	sports team vols
concept:sportsteam:mavericks	sports team mavericks
concept:stateorprovince:morning	state or province morning
concept:university:state_university	university state university
concept:university:colorado_state	university colorado state
concept:plant:redwoods	plant redwoods
concept:plant:oak_trees	plant oak trees
concept:landscapefeatures:waters	landscape features waters
concept:city:lafayette	city lafayette
concept:sportsteam:titans	sports team titans
concept:sportsteam:saints	sports team saints
concept:coach:cincinnati	coach cincinnati
concept:city:prague	city prague
concept:plant:chestnuts	plant chestnuts
concept:country:ukraine	country ukraine
concept:plant:deodar	plant deodar
concept:sportsteam:esu_hornets	sports team es u hornets
concept:sportsteam:rockets	sports team rockets
concept:city:buenos_aires	city buenos aires
concept:country:argentina	country argentina
concept:country:korea	country korea
concept:country:france_france	country france france
concept:river:counties	river counties
concept:airport:north_america	airport north america
concept:plant:coconut	plant coconut
concept:artery:skin	artery skin
concept:landscapefeatures:firm	landscape features firm
concept:date:n2000	date n 2000
concept:plant:plants	plant plants
concept:plant:bougainvillea	plant bougainvillea
concept:visualizablescene:washington	visual iz able scene washington
concept:date:n2004	date n 2004
concept:sportsteam:cavaliers	sports team cavaliers
concept:sportsleague:nba	sports league nba
concept:website:bureau	website bureau
concept:country:poland	country poland
concept:country:east_european_countries	country east european countries
concept:plant:redwood	plant redwood
concept:planet:climate	planet climate
concept:hobby:trips	hobby trips
concept:transportation:airports	transportation airports
concept:agent:start	agent start
concept:city:deerfield_beach	city deerfield beach
concept:city:hawaii	city hawaii
concept:stadiumoreventvenue:folsom_field	stadium or event venue folsom field
concept:country:tajikistan	country tajikistan
concept:country:panama	country panama
concept:stateorprovince:ontario	state or province ontario
concept:geopoliticalorganization:us_state	geopolitical organization us state
concept:boardgame:carson_city	boardgame carson city
concept:sportsteam:maryland	sports team maryland
concept:sportsteam:boston_college	sports team boston college
concept:city:link	city link
concept:city:click	city click
concept:transportation:two	transportation two
concept:vein:lungs	vein lungs
concept:coach:michigan_wolverines	coach michigan wolverines
concept:stateorprovince:visa	state or province visa
concept:city:princeton	city princeton
concept:governmentorganization:government	government organization government
concept:country:sierra_leone	country sierra leone
concept:country:qatar	country qatar
concept:company:canada	company canada
concept:city:vallejo	city vallejo
concept:artery:arteries	artery arteries
concept:sportsteam:orioles	sports team orioles
concept:plant:cherry_blossom	plant cherry blossom
concept:plant:cactuses	plant cactuses
concept:stateorprovince:kentucky	state or province kentucky
concept:building:years	building years
concept:lake:pacific_ocean	lake pacific ocean
concept:coach:minnesota_golden_gophers	coach minnesota golden gophers
concept:university:utah_state	university utah state
concept:city:manila	city manila
concept:country:philippines	country philippines
concept:island:staff	island staff
concept:plant:red_pine	plant red pine
concept:politicsblog:more_times	politics blog more times
concept:landscapefeatures:file	landscape features file
concept:website:visit	website visit
concept:date:n1993	date n 1993
concept:plant:chokecherry	plant choke cherry
concept:sportsteam:pittsburgh_pirates	sports team pittsburgh pirates
concept:city:san_pablo	city san pablo
concept:visualizablething:parishes	visual iz able thing parishes
concept:stadiumoreventvenue:paradise	stadium or event venue paradise
concept:bodypart:abdomen	body part abdomen
concept:artery:diaphragm	artery diaphragm
concept:sportsteam:rangers	sports team rangers
concept:sportsteam:washington_senators	sports team washington senators
concept:city:fullerton	city fullerton
concept:stateorprovince:idaho	state or province idaho
concept:stateorprovince:oregon	state or province oregon
concept:city:status	city status
concept:stadiumoreventvenue:conseco_fieldhouse	stadium or event venue con seco fieldhouse
concept:city:indianapolis	city indianapolis
concept:city:newport_beach	city newport beach
concept:stateorprovince:czestochowa	state or province c ze stochowa
concept:coach:bobby_petrino	coach bobby petri no
concept:stateorprovince:arkansas	state or province arkansas
concept:city:web	city web
concept:month:july	month july
concept:country:ireland	country ireland
concept:year:n1994	year n 1994
concept:city:columbia	city columbia
concept:stateorprovince:tennessee	state or province tennessee
concept:radiostation:new_jersey	radio station new jersey
concept:bodypart:immune_system	body part immune system
concept:stateorprovince:canadian	state or province canadian
concept:city:toronto	city toronto
concept:country:turkey	country turkey
concept:plant:plums	plant plums
concept:city:band	city band
concept:coach:billy_donovan	coach billy donovan
concept:country:eu_countries	country eu countries
concept:stateorprovince:south_australia	state or province south australia
concept:city:garden_grove	city garden grove
concept:sportsteam:sixers	sports team six ers
concept:city:sylmar	city syl mar
concept:country:papua_new_guinea	country papua new guinea
concept:country:mali	country mali
concept:sportsteam:nats	sports team nats
concept:country:us	country us
concept:country:west_indies	country west indies
concept:geometricshape:colleges	geometric shape colleges
concept:building:flight	building flight
concept:plant:fir	plant fir
concept:plant:conifer	plant conifer
concept:sportsteam:chicago_white_sox	sports team chicago white sox
concept:city:arcadia	city arcadia
concept:bodypart:system002	body part system 002
concept:braintissue:sense_organs	brain tissue sense organs
concept:plant:willows	plant willows
concept:city:titusville	city titusville
concept:county:conditions	county conditions
concept:city:dallas	city dallas
concept:country:spain	country spain
concept:stadiumoreventvenue:cajun_field	stadium or event venue cajun field
concept:artery:organ_system	artery organ system
concept:country:czechoslovakia	country czechoslovakia
concept:plant:pears	plant pears
concept:website:search	website search
concept:country:tanzania	country tanzania
concept:muscle:heart	muscle heart
concept:artery:pulmonary_arteries	artery pulmonary arteries
concept:island:senegal	island senegal
